side,n_factories,gamma,delta_e,n_repetitions,oracle_depth,t_tot_hr,t_max_hr,footprint
10,1,0.005179474679231202,0.01,4187720,194,24388.94393588889,0.005823919444444444,335946
10,1,0.007196856730011514,0.01,8303657,139,34654.86270807917,0.004173445833333333,335946
10,1,0.01,0.01,16308089,101,49462.65137818667,0.0030330133333333334,280504
10,2,1e-09,0.01,6,95129,13.032329086666667,2.172054847777778,1189910
10,2,1.389495494373136e-09,0.01,6,93505,12.809847853333334,2.134974642222222,1088790
10,2,1.9306977288832536e-09,0.01,7,91850,14.680306373055554,2.097186624722222,1088790
10,2,2.6826957952797275e-09,0.01,7,90177,14.41291334,2.05898762,1074454
10,2,3.727593720314938e-09,0.01,7,88477,14.141204937222223,2.020172133888889,1074454
10,2,5.179474679231202e-09,0.01,7,86747,13.86470168027778,1.9806716686111112,979654
10,2,7.1968567300115284e-09,0.01,8,84987,15.523889793333334,1.9404862241666667,979654
10,2,1e-08,0.01,8,83197,15.196926404444444,1.8996158005555555,979654
10,2,1.389495494373136e-08,0.01,8,81372,14.863569875555555,1.8579462344444444,966342
10,2,1.9306977288832496e-08,0.01,9,79519,16.3407361925,1.8156373547222222,966342
10,2,2.682695795279727e-08,0.01,9,77632,15.952969485,1.772552165,966342
10,2,3.7275937203149377e-08,0.01,10,75708,17.286221677777778,1.7286221677777778,891174
10,2,5.1794746792312124e-08,0.01,10,73750,14.91468333888889,1.491468333888889,930502
10,2,7.196856730011513e-08,0.01,11,71758,15.96302103611111,1.4511837305555555,917190
10,2,1e-07,0.01,11,69728,15.511437104166667,1.4101306458333334,828710
10,2,1.389495494373136e-07,0.01,12,67662,16.420194313333333,1.3683495261111112,828710
10,2,1.9306977288832497e-07,0.01,13,65562,17.23645063111111,1.3258808177777779,816422
10,2,2.6826957952797275e-07,0.01,14,63427,17.957836629444444,1.2827026163888888,813506
10,2,3.727593720314938e-07,0.01,15,61266,18.585004395833334,1.2390002930555555,744050
10,2,5.179474679231202e-07,0.01,16,59076,19.115383955555554,1.1947114972222221,731762
10,2,7.196856730011514e-07,0.01,17,56860,19.548247271666668,1.1498968983333333,731762
10,2,1e-06,0.01,19,54629,20.990800081666666,1.1047789516666666,731762
10,2,1.389495494373136e-06,0.01,21,52387,22.248209544166667,1.0594385497222223,720498
10,2,1.9306977288832498e-06,0.01,23,50145,23.32425739888889,1.0140981477777777,720498
10,2,2.6826957952797274e-06,0.01,26,47912,25.192433615555558,0.9689397544444445,720498
10,2,3.727593720314938e-06,0.01,30,45701,27.72678815,0.9242262716666667,656306
10,2,5.179474679231202e-06,0.01,35,43526,26.833147687500002,0.7666613625,701042
10,2,7.196856730011514e-06,0.01,41,41399,29.897073571944443,0.7291969163888888,677490
10,2,1e-05,0.01,50,39333,34.64034544444444,0.6928069088888889,602034
10,2,1.3894954943731361e-05,0.01,62,37334,40.771015395,0.6575970225,602034
10,2,1.9306977288832496e-05,0.01,81,35382,50.4804135825,0.6232149825,602034
10,2,2.682695795279722e-05,0.01,113,33267,66.21369485694444,0.5859619013888889,591794
10,2,3.727593720314938e-05,0.01,194,26827,91.67068215222223,0.47252928944444444,590736
10,2,5.1794746792312125e-05,0.01,374,19307,127.18763465222221,0.34007388944444444,531984
10,2,7.196856730011514e-05,0.01,724,13895,177.19725797555554,0.2447475938888889,519980
10,2,0.0001,0.01,1402,10001,246.97583124722223,0.1761596513888889,519980
10,2,0.0001389495494373136,0.01,2716,7197,344.3082592833333,0.12677034583333333,519098
10,2,0.00019306977288832496,0.01,5263,5180,480.2140770636111,0.09124341194444445,509882
10,2,0.0002682695795279722,0.01,10209,3728,670.3980782399999,0.06566736,508118
10,2,0.0003727593720314938,0.01,19818,2683,936.618327345,0.04726099138888889,508118
10,2,0.0005179474679231202,0.01,38503,1931,1309.6897803808333,0.034015265833333336,454692
10,2,0.0007196856730011514,0.01,74873,1390,1833.3572700113891,0.024486226944444446,445476
10,2,0.001,0.01,145723,1001,2188.9661437883333,0.015021418333333333,477824
10,2,0.001389495494373136,0.01,284387,720,3072.8607822916665,0.010805208333333333,416384
10,2,0.0019306977288832496,0.01,555879,518,4321.5915728058335,0.007774338611111111,407168
10,2,0.002682695795279722,0.01,1087948,373,6090.746928655555,0.005598380555555556,398254
10,2,0.003727593720314938,0.01,2131464,269,8606.708350253333,0.004037932777777778,398254
10,2,0.005179474679231202,0.01,4187720,194,12194.471967944444,0.002911959722222222,350138
10,2,0.007196856730011514,0.01,8303657,139,17327.432507325277,0.0020867230555555553,341946
10,2,0.01,0.01,16308089,101,24731.325689093333,0.0015165066666666667,341368
20,1,1e-09,0.01,8,335407,381.94715797333333,47.74339474666667,3046774
20,1,1.389495494373136e-09,0.01,8,328856,374.4871630511111,46.81089538138889,3039094
20,1,1.9306977288832536e-09,0.01,9,322165,412.72620996750004,45.85846777416667,3039094
20,1,2.6826957952797275e-09,0.01,9,315368,404.0185647725,44.89095164138889,3039094
20,1,3.727593720314938e-09,0.01,9,308460,354.63859248250003,39.40428805361111,3011446
20,1,5.179474679231202e-09,0.01,10,301414,385.04195805,38.504195805,3011446
20,1,7.1968567300115284e-09,0.01,10,294251,375.89157375,37.589157375,3004278
